label,text
ham,Here's the document you requested.
ham,Can you send me the updated file?
spam,Win a new iPhone by answering one question.
spam,Limited offer! Buy now and get 70% off.
spam,Congratulations! You've won a $1000 gift card. Click here to claim.
ham,Let me know if you need any changes.
spam,Congratulations! You've won a $1000 gift card. Click here to claim.
spam,Earn money fast! No experience needed.
ham,Thanks for your help on the assignment.
ham,Let me know if you need any changes.
spam,Free vacation to Bahamas waiting for you!
ham,Can you send me the updated file?
ham,Please find attached the project report.
spam,Click here to unlock your exclusive reward.
ham,Thanks for your help on the assignment.
ham,Let me know if you need any changes.
spam,Limited offer! Buy now and get 70% off.
ham,"Hey, are we still on for dinner tonight?"
ham,Looking forward to our trip this weekend.
ham,Looking forward to our trip this weekend.
spam,Earn money fast! No experience needed.
spam,Congratulations! You've won a $1000 gift card. Click here to claim.
ham,Can you send me the updated file?
ham,Happy birthday! Hope you have a great year ahead.
ham,Can you send me the updated file?
ham,Please find attached the project report.
ham,"Hey, are we still on for dinner tonight?"
ham,Don't forget the team meeting at 10 AM.
ham,"Hey, are we still on for dinner tonight?"
ham,Here's the document you requested.
spam,This is not a scam. You've won big!
ham,Thanks for your help on the assignment.
ham,"Hey, are we still on for dinner tonight?"
ham,Here's the document you requested.
ham,Don't forget the team meeting at 10 AM.
spam,Limited offer! Buy now and get 70% off.
ham,Please find attached the project report.
ham,Let’s schedule a meeting for tomorrow.
ham,Thanks for your help on the assignment.
spam,Win a new iPhone by answering one question.
ham,Thanks for your help on the assignment.
spam,You’ve been pre-approved for a new credit card.
ham,Can you send me the updated file?
spam,Earn money fast! No experience needed.
spam,Click here to unlock your exclusive reward.
spam,This is not a scam. You've won big!
spam,Win a new iPhone by answering one question.
spam,Free vacation to Bahamas waiting for you!
spam,Congratulations! You've won a $1000 gift card. Click here to claim.
ham,Happy birthday! Hope you have a great year ahead.
ham,Please find attached the project report.
spam,You’ve been pre-approved for a new credit card.
ham,"Hey, are we still on for dinner tonight?"
spam,This is not a scam. You've won big!
spam,Click here to unlock your exclusive reward.
spam,Urgent! Verify your bank information immediately.
ham,Let’s schedule a meeting for tomorrow.
spam,Urgent! Verify your bank information immediately.
spam,Click here to unlock your exclusive reward.
ham,Happy birthday! Hope you have a great year ahead.
spam,Click here to unlock your exclusive reward.
spam,You’ve been pre-approved for a new credit card.
spam,Your account has been compromised. Reset your password now.
spam,Congratulations! You've won a $1000 gift card. Click here to claim.
spam,Limited offer! Buy now and get 70% off.
spam,Congratulations! You've won a $1000 gift card. Click here to claim.
ham,Happy birthday! Hope you have a great year ahead.
ham,Happy birthday! Hope you have a great year ahead.
ham,Can you send me the updated file?
spam,Free vacation to Bahamas waiting for you!
spam,Earn money fast! No experience needed.
ham,Happy birthday! Hope you have a great year ahead.
spam,Congratulations! You've won a $1000 gift card. Click here to claim.
spam,Congratulations! You've won a $1000 gift card. Click here to claim.
ham,Let me know if you need any changes.
ham,Let’s schedule a meeting for tomorrow.
spam,Your account has been compromised. Reset your password now.
ham,Looking forward to our trip this weekend.
spam,Earn money fast! No experience needed.
ham,Don't forget the team meeting at 10 AM.
spam,Limited offer! Buy now and get 70% off.
ham,Happy birthday! Hope you have a great year ahead.
ham,Don't forget the team meeting at 10 AM.
spam,Win a new iPhone by answering one question.
spam,Earn money fast! No experience needed.
ham,Let’s schedule a meeting for tomorrow.
spam,This is not a scam. You've won big!
ham,Happy birthday! Hope you have a great year ahead.
spam,This is not a scam. You've won big!
spam,Your account has been compromised. Reset your password now.
ham,Let’s schedule a meeting for tomorrow.
spam,You’ve been pre-approved for a new credit card.
spam,Limited offer! Buy now and get 70% off.
ham,Here's the document you requested.
spam,Free vacation to Bahamas waiting for you!
ham,Here's the document you requested.
spam,Urgent! Verify your bank information immediately.
ham,Let me know if you need any changes.
ham,Let’s schedule a meeting for tomorrow.
ham,Please find attached the project report.
spam,Your account has been compromised. Reset your password now.
spam,Win a new iPhone by answering one question.
spam,Your account has been compromised. Reset your password now.
ham,Here's the document you requested.
ham,Please find attached the project report.
spam,Click here to unlock your exclusive reward.
spam,Free vacation to Bahamas waiting for you!
spam,This is not a scam. You've won big!
ham,Looking forward to our trip this weekend.
spam,You’ve been pre-approved for a new credit card.
spam,Urgent! Verify your bank information immediately.
spam,Congratulations! You've won a $1000 gift card. Click here to claim.
spam,Limited offer! Buy now and get 70% off.
ham,Thanks for your help on the assignment.
ham,Can you send me the updated file?
ham,Let me know if you need any changes.
spam,This is not a scam. You've won big!
spam,You’ve been pre-approved for a new credit card.
ham,Thanks for your help on the assignment.
ham,Please find attached the project report.
spam,This is not a scam. You've won big!
ham,Let me know if you need any changes.
spam,Your account has been compromised. Reset your password now.
spam,Earn money fast! No experience needed.
spam,Earn money fast! No experience needed.
spam,Earn money fast! No experience needed.
spam,Limited offer! Buy now and get 70% off.
spam,Urgent! Verify your bank information immediately.
spam,This is not a scam. You've won big!
spam,Earn money fast! No experience needed.
spam,Your account has been compromised. Reset your password now.
spam,Free vacation to Bahamas waiting for you!
spam,This is not a scam. You've won big!
spam,Urgent! Verify your bank information immediately.
spam,Urgent! Verify your bank information immediately.
ham,Let’s schedule a meeting for tomorrow.
spam,Earn money fast! No experience needed.
ham,Let’s schedule a meeting for tomorrow.
spam,Urgent! Verify your bank information immediately.
ham,Looking forward to our trip this weekend.
ham,Happy birthday! Hope you have a great year ahead.
ham,Let’s schedule a meeting for tomorrow.
spam,Your account has been compromised. Reset your password now.
ham,Thanks for your help on the assignment.
ham,Let me know if you need any changes.
spam,Your account has been compromised. Reset your password now.
ham,Please find attached the project report.
spam,Your account has been compromised. Reset your password now.
spam,Win a new iPhone by answering one question.
spam,You’ve been pre-approved for a new credit card.
ham,Happy birthday! Hope you have a great year ahead.
ham,Let me know if you need any changes.
ham,Looking forward to our trip this weekend.
ham,"Hey, are we still on for dinner tonight?"
ham,Please find attached the project report.
ham,Don't forget the team meeting at 10 AM.
spam,Congratulations! You've won a $1000 gift card. Click here to claim.
ham,Let me know if you need any changes.
ham,Looking forward to our trip this weekend.
ham,Let’s schedule a meeting for tomorrow.
spam,Urgent! Verify your bank information immediately.
ham,Please find attached the project report.
spam,Your account has been compromised. Reset your password now.
spam,Earn money fast! No experience needed.
spam,This is not a scam. You've won big!
ham,Don't forget the team meeting at 10 AM.
ham,Here's the document you requested.
spam,Limited offer! Buy now and get 70% off.
spam,Your account has been compromised. Reset your password now.
spam,Free vacation to Bahamas waiting for you!
spam,Urgent! Verify your bank information immediately.
spam,Congratulations! You've won a $1000 gift card. Click here to claim.
ham,Here's the document you requested.
ham,Here's the document you requested.
ham,"Hey, are we still on for dinner tonight?"
ham,"Hey, are we still on for dinner tonight?"
ham,"Hey, are we still on for dinner tonight?"
ham,Happy birthday! Hope you have a great year ahead.
ham,Happy birthday! Hope you have a great year ahead.
ham,Don't forget the team meeting at 10 AM.
ham,Let’s schedule a meeting for tomorrow.
spam,Free vacation to Bahamas waiting for you!
ham,Let me know if you need any changes.
ham,Let me know if you need any changes.
spam,Click here to unlock your exclusive reward.
spam,Click here to unlock your exclusive reward.
spam,Urgent! Verify your bank information immediately.
ham,Let’s schedule a meeting for tomorrow.
ham,Don't forget the team meeting at 10 AM.
ham,Happy birthday! Hope you have a great year ahead.
ham,Can you send me the updated file?
ham,"Hey, are we still on for dinner tonight?"
ham,Don't forget the team meeting at 10 AM.
ham,Let’s schedule a meeting for tomorrow.
ham,Don't forget the team meeting at 10 AM.
spam,Win a new iPhone by answering one question.
ham,Let’s schedule a meeting for tomorrow.
spam,You’ve been pre-approved for a new credit card.
ham,Let me know if you need any changes.
spam,Urgent! Verify your bank information immediately.
spam,Urgent! Verify your bank information immediately.
ham,Happy birthday! Hope you have a great year ahead.
ham,Let’s schedule a meeting for tomorrow.
ham,Please find attached the project report.
spam,Limited offer! Buy now and get 70% off.
ham,"Hey, are we still on for dinner tonight?"
spam,Congratulations! You've won a $1000 gift card. Click here to claim.
ham,Let’s schedule a meeting for tomorrow.
spam,Congratulations! You've won a $1000 gift card. Click here to claim.
ham,Thanks for your help on the assignment.
ham,"Hey, are we still on for dinner tonight?"
ham,Let me know if you need any changes.
ham,Let’s schedule a meeting for tomorrow.
spam,Urgent! Verify your bank information immediately.
spam,You’ve been pre-approved for a new credit card.
ham,Let’s schedule a meeting for tomorrow.
ham,Can you send me the updated file?
spam,Earn money fast! No experience needed.
ham,Here's the document you requested.
ham,Let me know if you need any changes.
spam,Click here to unlock your exclusive reward.
spam,Win a new iPhone by answering one question.
spam,This is not a scam. You've won big!
spam,Click here to unlock your exclusive reward.
spam,This is not a scam. You've won big!
spam,Your account has been compromised. Reset your password now.
spam,Click here to unlock your exclusive reward.
spam,Earn money fast! No experience needed.
spam,Click here to unlock your exclusive reward.
ham,Looking forward to our trip this weekend.
spam,Click here to unlock your exclusive reward.
ham,Looking forward to our trip this weekend.
spam,Limited offer! Buy now and get 70% off.
ham,Let’s schedule a meeting for tomorrow.
